WBC_area,WBC_convex_area,WBC_peri,ecc_wbc,solidity_wbc,orient_wbc,nuc_area,nuc_ratio,peri_nuc,round_nuc,ecc_nuc,solidity_nuc,convex_area_nuc,avg_cyt_re,avg_cyt_gr,avg_cyt_bl,entropy_cyt,minoraxis,majoraxis,minoraxis_nuc,majoraxis_nuc,axismeanratio,status
3798,3849,244.485281374239,0.580089767110299,0.986749805144193,-79.0124508712878,2720,0.716166403370195,237.764501987817,0.604623102314505,0.672656132205925,0.908787170063481,2993,124.895176252319,114.916512059369,145.590909090909,-18.4135193659411,63.9428096699338,78.5005330970668,51.4105166895514,69.4778755397355,1.68907025146501,Affected
3521,3590,236.727922061358,0.602939065932882,0.980779944289694,77.5025813394578,2373,0.673956262425447,204.066017177982,0.716087719100536,0.717206151311215,0.928767123287671,2555,140.40243902439,129.554878048781,155.895470383275,-17.7497199499717,60.9598369229721,76.4111454138032,46.2609224259921,66.3847144022349,1.62765856370448,Affected
2805,2805,208,0.374386550581346,1,0,1976,0.70445632798574,173.195959492893,0.827792127955875,0.442007819738219,0.963432471964895,2051,141.655006031363,132.653799758745,152.237635705669,-14.0106947547617,58.8897274573418,63.5085296108588,47.6782256597585,53.1523194211113,1.64655069800556,Affected
2595,2616,200.242640687119,0.433734490403506,0.99197247706422,77.086906341069,1912,0.736801541425819,176.267027304759,0.773313499038295,0.560307703630368,0.963709677419355,1984,130.96925329429,124.693997071742,146.215226939971,-12.5937695921476,55.636477319464,61.7469062697465,45.1103348802263,54.462365003642,1.69283082572118,Affected
2662,2704,209.313708498985,0.239700415816886,0.984467455621302,-33.8317636245783,2025,0.760706235912847,168.02438661764,0.90134334033683,0.181265348701189,0.979206963249516,2068,136.028257456829,129.120879120879,142.973312401884,-11.3654770345463,58.7417384530068,60.505665951928,50.4234312944863,51.2728050873565,1.70579690016975,Affected
2769,2783,205.656854249492,0.259973300562394,0.99496945742005,-43.8665161907251,2075,0.74936800288913,177.438600180013,0.828193389595568,0.198285633254809,0.966464834653004,2147,132.064841498559,123.657060518732,143.373198847262,-12.4197737714339,59.5116954064467,61.6308215898902,50.9890600291619,52.0219942328227,1.70088113235808,Affected
3099,3326,237.941125496954,0.699187631999585,0.931749849669272,-79.9500370819307,2139,0.690222652468538,212.994949366117,0.592491382126645,0.845111267892648,0.859036144578313,2490,142.092708333333,127.473958333333,162.551041666667,-17.0252627178649,54.7391307271898,76.56484066034,39.6029413007992,74.0808998780698,1.69104270751662,Affected
3848,3895,243.556349186104,0.446127985040178,0.98793324775353,-58.6492707838983,2664,0.692307692307692,224.308657865102,0.665352833787586,0.701746845662285,0.908285032390044,2933,143.865709459459,132.304898648649,163.22972972973,-18.481779208982,67.4413683007439,75.3560796515555,49.9275882605623,70.081048080816,1.67030961494649,Affected
2947,3073,217.01219330882,0.419289250271187,0.958997722095672,-85.2558567170462,2174,0.737699355276552,189.338095116624,0.762067423176515,0.603375202561459,0.957709251101321,2270,147.890038809832,136.302716688228,171.477360931436,-13.8661652856511,59.2852454297075,65.302714240038,47.4800293246862,59.5392645179502,1.71261686829293,Affected
2668,2717,200.870057685089,0.432531905597387,0.981965403018035,36.6935179433855,2048,0.767616191904048,179.923881554251,0.794990964926055,0.686569330926358,0.956562354040168,2141,154.95,143.679032258065,168.895161290323,-11.0283358531917,56.2389579643164,62.3755501583351,43.8893093528042,60.3650969603974,1.74817615442311,Affected
